Epoch,Loss,Accuracy
1,2.634176731109619,0.275390625
2,1.9370167255401611,0.4501953125
3,1.6159963607788086,0.53515625
4,1.4523026943206787,0.5634765625
5,1.3455402851104736,0.5810546875
6,1.2346605062484741,0.62109375
7,1.1706618070602417,0.6435546875
8,1.1268649101257324,0.6552734375
9,1.0715601444244385,0.6474609375
10,1.0066053867340088,0.6767578125
11,0.9634947776794434,0.6943359375
12,0.9690756797790527,0.677734375
13,0.9250072836875916,0.712890625
14,0.8969485759735107,0.712890625
15,0.8973841667175293,0.7177734375
16,0.8525471687316895,0.7197265625
17,0.8492140769958496,0.7177734375
18,0.829393744468689,0.7421875
19,0.7839047908782959,0.755859375
20,0.746682345867157,0.7578125
21,0.7598608732223511,0.755859375
22,0.7434474229812622,0.759765625
23,0.7106784582138062,0.7734375
24,0.7200902104377747,0.767578125
25,0.6827711462974548,0.7783203125
26,0.6735526323318481,0.775390625
27,0.6485534906387329,0.783203125
28,0.642082929611206,0.7958984375
29,0.6305551528930664,0.796875
30,0.6407837867736816,0.7763671875
31,0.605538010597229,0.8095703125
32,0.5868064165115356,0.802734375
33,0.57105553150177,0.8173828125
34,0.5652908682823181,0.818359375
35,0.5680592656135559,0.8017578125
36,0.5314970016479492,0.80859375
37,0.5339154005050659,0.828125
38,0.5284218192100525,0.826171875
39,0.5316950082778931,0.830078125
40,0.5029797554016113,0.8408203125
41,0.5053565502166748,0.8330078125
42,0.4742417335510254,0.833984375
43,0.4773613214492798,0.83984375
44,0.47115927934646606,0.8427734375
45,0.4573040008544922,0.8505859375
46,0.44690847396850586,0.84765625
47,0.47256577014923096,0.8369140625
48,0.44044530391693115,0.8466796875
49,0.4460088908672333,0.857421875
50,0.4286077916622162,0.8603515625
51,0.3829917907714844,0.8740234375
52,0.4079901874065399,0.865234375
53,0.40108057856559753,0.8564453125
54,0.4218653440475464,0.853515625
55,0.39696282148361206,0.87109375
56,0.43659693002700806,0.8583984375
57,0.39408695697784424,0.8662109375
58,0.3881821036338806,0.876953125
59,0.3852185904979706,0.8759765625
60,0.39187192916870117,0.8564453125
61,0.36397063732147217,0.8798828125
62,0.3382107615470886,0.884765625
63,0.35012710094451904,0.884765625
64,0.3031735420227051,0.90234375
65,0.3508717119693756,0.8798828125
66,0.34960371255874634,0.8779296875
67,0.33836936950683594,0.8818359375
68,0.3283722400665283,0.880859375
69,0.3078732490539551,0.9072265625
70,0.32758885622024536,0.88671875
71,0.2885410487651825,0.8935546875
72,0.31451913714408875,0.8974609375
73,0.28474903106689453,0.9013671875
74,0.34759342670440674,0.8837890625
75,0.30115729570388794,0.9033203125
76,0.3047392964363098,0.900390625
77,0.30741316080093384,0.888671875
78,0.3005252480506897,0.90234375
79,0.28347671031951904,0.8984375
80,0.3006115257740021,0.8955078125
81,0.27782613039016724,0.9052734375
82,0.2988809645175934,0.888671875
83,0.29676416516304016,0.90234375
84,0.3038019835948944,0.8994140625
85,0.2918589115142822,0.9091796875
86,0.28169187903404236,0.8994140625
87,0.282253235578537,0.9052734375
88,0.25905168056488037,0.9140625
89,0.29995888471603394,0.9013671875
90,0.2784114480018616,0.9033203125
